ISIN,Sub-Fund,Asset Type,Country,Description,Currency,Quantity,Market value (note 2),% of net assets
LU1554376936,FIXED INCOME,SHARES,FRANCE,LVMH MOET HENNESSY LOUIS VUITTON ,EUR ,285,"106,675.50",0.44
,FIXED INCOME,SHARES,GERMANY,SIEMENS ,EUR ,980,"102,508.00",0.42
,FIXED INCOME,SHARES,IRELAND,MEDTRONIC ,USD ,"1,280.00","109,465.40",0.45
,FIXED INCOME,SHARES,SWITZERLAND,NESTLE ,CHF ,"1,440.00","131,065.90",0.54
,FIXED INCOME,SHARES,SWITZERLAND,ROCHE HOLDING D.RIGHT ,CHF ,570,"140,994.57",0.58
,FIXED INCOME,SHARES,SWITZERLAND,S.G.S. ,CHF ,40,"89,594.99",0.37
,FIXED INCOME,SHARES,UNITED KINGDOM,COMPASS GROUP ,GBP ,"4,239.00","89,395.15",0.37
,FIXED INCOME,SHARES,UNITED KINGDOM,RECKITT BENCKISER GROUP ,GBP ,"1,455.00","101,044.54",0.42
,FIXED INCOME,SHARES,UNITED STATES,ALPHABET 'A' ,USD ,142,"135,017.21",0.56
,FIXED INCOME,SHARES,UNITED STATES,AMAZON.COM ,USD ,66,"109,746.73",0.45
,FIXED INCOME,SHARES,UNITED STATES,APPLE ,USD ,500,"86,898.49",0.36
,FIXED INCOME,SHARES,UNITED STATES,CELGENE ,USD ,"1,390.00","112,830.70",0.46
,FIXED INCOME,SHARES,UNITED STATES,DANAHER ,USD ,700,"87,850.37",0.36
,FIXED INCOME,SHARES,UNITED STATES,ELECTRONIC ARTS ,USD ,700,"62,242.71",0.26
,FIXED INCOME,SHARES,UNITED STATES,FACEBOOK 'A' ,USD ,"1,130.00","191,508.61",0.79
,FIXED INCOME,SHARES,UNITED STATES,FIDELITY NATIONAL ,USD ,"1,215.00","130,888.83",0.54
,FIXED INCOME,SHARES,UNITED STATES,HONEYWELL INTERNATIONAL ,USD ,710,"108,850.46",0.45
,FIXED INCOME,SHARES,UNITED STATES,PEPSICO ,USD ,"1,040.00","119,753.42",0.49
,FIXED INCOME,SHARES,UNITED STATES,THERMO FISHER SCIENTIFIC ,USD ,525,"135,389.88",0.56
,FIXED INCOME,SHARES,UNITED STATES,UNITEDHEALTH GROUP ,USD ,530,"113,562.79",0.47
,FIXED INCOME,SHARES,UNITED STATES,VISA 'A' ,USD ,960,"146,301.37",0.6
,FIXED INCOME,SHARES,UNITED STATES,WALT DISNEY ,USD ,"1,060.00","129,977.52",0.53
,FIXED INCOME,SHARES,UNITED STATES,WELLS FARGO ,USD ,"3,620.00","150,420.09",0.62
,FIXED INCOME,BONDS,AUSTRALIA,0.25%  - WESTPAC BANKING 16/22 -SR-S ,EUR ,"600,000.00","606,022.80",2.49
,FIXED INCOME,BONDS,CANADA,0.375%  - TORONTO-DOMINION 19/24 -SR- ,EUR ,"600,000.00","603,820.20",2.48
,FIXED INCOME,BONDS,FRANCE,0.20%  - HSBC FRANCE 18/21 -SR-S ,EUR ,"600,000.00","604,549.20",2.49
,FIXED INCOME,BONDS,FRANCE,0.75%  - LVMH MOET HENNESSY 17/24 -SR- ,EUR ,"600,000.00","624,065.40",2.57
,FIXED INCOME,BONDS,FRANCE,0.875%  - BPCE 18/24 -SR- ,EUR ,"600,000.00","612,952.20",2.52
,FIXED INCOME,BONDS,FRANCE,1.125%  - BNP PARIBAS 18/23 -SR- ,EUR ,"600,000.00","620,841.60",2.55
,FIXED INCOME,BONDS,GERMANY,0.25%  - VOLKSWAGEN LEASING 18/21 -SR-S ,EUR ,"400,000.00","401,288.00",1.65
,FIXED INCOME,BONDS,IRELAND,FRN  - FCA BANK IRELAND 18/21 -SR- ,EUR ,"500,000.00","497,711.00",2.05
,FIXED INCOME,BONDS,IRELAND,1.00%  - FCA BANK IRELAND 18/22 -SR-S ,EUR ,"200,000.00","203,291.80",0.84
,FIXED INCOME,BONDS,IRELAND,2.00%  - LUNAR FUNDING -LPN- 13/20 -SR- ,EUR ,"600,000.00","615,787.80",2.53
,FIXED INCOME,BONDS,JAPAN,0.125%  - MERCEDES-BENZ FIN. 16/19 -SR- ,EUR ,"500,000.00","500,441.00",2.06
